pid,trial,condition,time,pupil
1,1,neutral,1,0.12072074838729314
1,1,neutral,201,0.13040229892771257
1,1,neutral,401,0.19132255395342737
1,1,neutral,601,0.29291741307805325
1,1,neutral,801,0.2991329487979576
1,1,neutral,1001,0.3728495072245685
1,1,neutral,1201,0.524873116389828
1,1,neutral,1401,0.6363325366796527
1,1,neutral,1601,0.7170113164286628
1,1,neutral,1801,0.802101144173562
1,1,neutral,2001,0.8982306989258387
1,1,neutral,2201,0.9634986907084858
1,1,neutral,2401,0.9593212971080146
1,1,neutral,2601,0.9404408886869025
1,1,neutral,2801,0.9101548085313654
1,1,neutral,3001,0.9161636487533292
1,1,neutral,3201,0.9300378585400924
1,1,neutral,3401,1.0179318542838525
1,1,neutral,3601,1.1613535081885162
1,1,neutral,3801,1.2265136296792811
1,1,neutral,4001,1.2356260826382797
1,1,neutral,4201,1.233281941757679
1,1,neutral,4401,1.2416048906375838
1,1,neutral,4601,1.2623620022433617
1,1,neutral,4801,1.3047784230697577
1,1,neutral,5001,1.3493473599502497
1,1,neutral,5201,1.355185888071226
1,1,neutral,5401,1.368965135179752
1,1,neutral,5601,1.3994348118755728
1,1,neutral,5801,1.4264525656555889
1,1,neutral,6001,1.4105215283524135
1,1,neutral,6201,1.3809080926162236
1,1,neutral,6401,1.3790221073281692
1,1,neutral,6601,1.4102536076784935
1,1,neutral,6801,1.3921907135082057
1,1,neutral,7001,1.4034668312119971
1,1,neutral,7201,1.3887331342997002
1,1,neutral,7401,1.3962397763074177
1,1,neutral,7601,1.4174107043485304
1,1,neutral,7801,1.4092134309530648
1,1,neutral,8001,1.1468877038316043
1,1,neutral,8201,0.7154072541109908
1,1,neutral,8401,0.4789439274351656
1,1,neutral,8601,0.4380716848165272
1,1,neutral,8801,0.45810613489976415
1,1,neutral,9001,0.5773362099158963
1,1,neutral,9201,0.6894528299210411
1,1,neutral,9401,0.4727273095872237
1,1,neutral,9601,0.32894558084162256
1,1,neutral,9801,0.2894659375352147
1,1,neutral,10001,0.3475856586329656
1,1,neutral,10201,0.46159371481660233
1,1,neutral,10401,0.4811503261272982
1,1,neutral,10601,0.292952069902129
1,1,neutral,10801,0.1830357106550507
1,1,neutral,11001,0.18868421950071865
1,1,neutral,11201,0.26511278017339934
1,1,neutral,11401,0.47413423845670344
1,1,neutral,11601,0.6537839251516572
1,1,neutral,11801,0.6472622149126827
1,1,neutral,12001,0.6463389477411857
1,1,neutral,12201,0.6441837791238668
1,1,neutral,12401,0.6555275767498238
1,1,neutral,12601,0.7557405933466517
1,1,neutral,12801,0.8175864497827959
1,1,neutral,13001,0.8974868217582598
1,1,neutral,13201,0.8404846144373169
1,1,neutral,13401,0.6630590280598728
1,1,neutral,13601,0.7225805228184471
1,1,neutral,13801,0.9002459948772408
1,1,neutral,14001,0.9974424592051484
1,1,neutral,14201,0.9750779030956176
1,1,neutral,14401,0.774548022326231
1,1,neutral,14601,0.6831787405066048
1,1,neutral,14801,0.8700855174937493
1,1,neutral,15001,1.0080691571990483
1,1,neutral,15201,0.9495988612270996
1,1,neutral,15401,0.7467919479825208
1,1,neutral,15601,0.6890755640703171
1,1,neutral,15801,0.7569558991026543
1,1,neutral,16001,0.8278583365523865
1,1,neutral,16201,0.91995924898685
1,1,neutral,16401,0.9327719598474904
1,1,neutral,16601,0.9628657722248416
1,1,neutral,16801,1.039403916174267
1,1,neutral,17001,0.9548236521573652
1,1,neutral,17201,0.8201748765215847
1,1,neutral,17401,0.843607346639074
1,1,neutral,17601,0.8075598419825757
1,1,neutral,17801,0.8620344191351857
1,1,neutral,18001,0.829274629966541
1,1,neutral,18201,0.7097440791575422
1,1,neutral,18401,0.48038968293537
1,1,neutral,18601,0.2593254962787169
1,1,neutral,18801,0.2846381104418237
1,1,neutral,19001,0.4838542345620035
1,1,neutral,19201,0.6850053432767175
1,1,neutral,19401,0.7870081263867232
1,1,neutral,19601,0.7444427130877276
1,1,neutral,19801,0.6796695517615641
1,1,neutral,20001,0.6692490106982916
1,1,neutral,20201,0.6673812055780168
1,1,neutral,20401,0.7400433448418129
1,1,neutral,20601,0.8014466774853306
1,1,neutral,20801,0.6666943046961641
1,1,neutral,21001,0.4897547254602488
1,1,neutral,21201,0.4069645640354453
1,1,neutral,21401,0.31763145495634315
1,1,neutral,21601,0.3992126345181859
1,1,neutral,21801,0.5136183361792273
1,1,neutral,22001,0.5474869445226053
1,1,neutral,22201,0.5304914090176827
1,1,neutral,22401,0.5045668242365572
1,1,neutral,22601,0.5752028515314012
1,1,neutral,22801,0.6296033050407482
1,1,neutral,23001,0.6743150867775922
1,1,neutral,23201,0.671461885739819
1,1,neutral,23401,0.5381146001578085
1,1,neutral,23601,0.4386981421098464
1,1,neutral,23801,0.3487024216130275
1,1,neutral,24001,0.2866150901484814
1,1,neutral,24201,0.25427072749486024
1,1,neutral,24401,0.2570819183493532
1,1,neutral,24601,0.3523800310223134
1,1,neutral,24801,0.4163234924872417
1,1,neutral,25001,0.376697246129272
1,1,neutral,25201,0.2764438745175075
1,1,neutral,25401,0.28690375464811635
1,1,neutral,25601,0.2908739390578001
1,1,neutral,25801,0.21891484776201148
1,1,neutral,26001,0.15546448838273194
1,1,neutral,26201,0.1770189927320233
1,1,neutral,26401,0.2191569101526146
1,1,neutral,26601,0.2523437543223082
1,1,neutral,26801,0.26589963777635567
1,1,neutral,27001,0.19121794342319912
1,1,neutral,27201,0.18624595306919603
1,1,neutral,27401,0.2640883484611823
1,1,neutral,27601,0.34094276257465433
1,1,neutral,27801,0.32290405564530283
1,1,neutral,28001,0.3172062170890019
1,1,neutral,28201,0.27432939078109064
1,1,neutral,28401,0.0575658365373929
1,1,neutral,28601,-0.12201271288919584
1,1,neutral,28801,-0.24370872232015617
1,1,neutral,29001,-0.26487910198530207
1,1,neutral,29201,-0.24570892175556752
1,1,neutral,29401,-0.23392389428645485
1,1,neutral,29601,-0.1328317556951323
1,1,neutral,29801,5.6513859563466e-4
1,1,neutral,30001,0.13067931507984382
1,1,neutral,30201,0.1335254758848491
1,1,neutral,30401,0.07811009516352983
1,1,neutral,30601,0.18651065115430543
1,1,neutral,30801,0.3803246684905545
1,1,neutral,31001,0.481613205362175
1,1,neutral,31201,0.3184550893130771
1,1,neutral,31401,0.1853592464109472
1,1,neutral,31601,0.3157313308924335
1,1,neutral,31801,0.39834303539087274
1,1,neutral,32001,0.423160115639265
1,1,neutral,32201,0.473045479522949
1,1,neutral,32401,0.4586999692410877
1,1,neutral,32601,0.49064187661238506
1,1,neutral,32801,0.5787276147764653
1,1,neutral,33001,0.6444062176269598
1,1,neutral,33201,0.4883675847397827
1,1,neutral,33401,0.5106543456265579
1,1,neutral,33601,0.6744662606505327
1,1,neutral,33801,0.7408405871729329
1,1,neutral,34001,0.6689922184280259
1,1,neutral,34201,0.6508175784209513
1,1,neutral,34401,0.723906354189722
1,1,neutral,34601,0.787569923512176
1,1,neutral,34801,0.8552327061808817
1,1,neutral,35001,0.8457737340364543
1,1,neutral,35201,0.7316001106549183
1,1,neutral,35401,0.7638653375692184
1,1,neutral,35601,0.8818545290664828
1,1,neutral,35801,0.9602570609463276
1,1,neutral,36001,0.8607011227958276
1,1,neutral,36201,0.7403670588017313
1,1,neutral,36401,0.8266148648700469
1,1,neutral,36601,0.8973941508312807
1,1,neutral,36801,0.7878394509629938
1,1,neutral,37001,0.5066374015656406
1,1,neutral,37201,0.31839468775456414
1,1,neutral,37401,0.1748542673663585
1,1,neutral,37601,0.0791936248552797
1,1,neutral,37801,0.03350904977521731
1,1,neutral,38001,0.12450106050235756
1,1,neutral,38201,0.27250136502507055
1,1,neutral,38401,0.42346457724927344
1,1,neutral,38601,0.5082088503831931
1,1,neutral,38801,0.5406660562427401
1,1,neutral,39001,0.567251252733508
1,1,neutral,39201,0.5281168121692525
1,1,neutral,39401,0.4526726536673178
1,1,neutral,39601,0.34988934696837476
1,1,neutral,39801,0.23610639144894047
1,2,reward,1,0.1676365785926724
1,2,reward,201,0.26197758052545617
1,2,reward,401,0.33510707104671755
1,2,reward,601,0.28881967721477814
1,2,reward,801,0.35183976814405593
1,2,reward,1001,0.493989613015542
1,2,reward,1201,0.6016932110710422
1,2,reward,1401,0.6988429134103004
1,2,reward,1601,0.7804989438567994
1,2,reward,1801,0.8744260836232606
1,2,reward,2001,0.9445331112429368
1,2,reward,2201,0.9783484948555946
1,2,reward,2401,0.961000571489304
1,2,reward,2601,0.7799756038312706
1,2,reward,2801,0.5200946243568307
1,2,reward,3001,0.5521364411437449
1,2,reward,3201,0.7674026275895007
1,2,reward,3401,0.9083022027376688
1,2,reward,3601,0.9484590588580484
1,2,reward,3801,0.7736873259242116
1,2,reward,4001,0.7225090024973294
1,2,reward,4201,0.6840567466744895
1,2,reward,4401,0.5960336527494381
1,2,reward,4601,0.5053831912263725
1,2,reward,4801,0.3256814358088185
1,2,reward,5001,0.37371040006518313
1,2,reward,5201,0.5149966132737868
1,2,reward,5401,0.5999840928544826
1,2,reward,5601,0.6349470331417215
1,2,reward,5801,0.5890849052521963
1,2,reward,6001,0.43540831533591495
1,2,reward,6201,0.46627449314492647
1,2,reward,6401,0.5729294918491783
1,2,reward,6601,0.5467117880090705
1,2,reward,6801,0.5723830778042714
1,2,reward,7001,0.6782653709819345
1,2,reward,7201,0.6122060943756019
1,2,reward,7401,0.46445122315106985
1,2,reward,7601,0.4422499772716044
1,2,reward,7801,0.5410822637030083
1,2,reward,8001,0.6281500937984257
1,2,reward,8201,0.6545853965127257
1,2,reward,8401,0.5963735989598176
1,2,reward,8601,0.6172915188567654
1,2,reward,8801,0.6555962786532104
1,2,reward,9001,0.6764837565376984
1,2,reward,9201,0.5729172726128703
1,2,reward,9401,0.4075482150561534
1,2,reward,9601,0.4422102581565124
1,2,reward,9801,0.6225629543280583
1,2,reward,10001,0.7274206106931009
1,2,reward,10201,0.6884445414547209
1,2,reward,10401,0.4437222725782656
1,2,reward,10601,0.32640150380496524
1,2,reward,10801,0.4157379062176844
1,2,reward,11001,0.5807803402993378
1,2,reward,11201,0.6932610261499187
1,2,reward,11401,0.745165859720693
1,2,reward,11601,0.6985126092395859
1,2,reward,11801,0.47557472601769246
1,2,reward,12001,0.5045228458937542
1,2,reward,12201,0.5892644291535242
1,2,reward,12401,0.3689664261521248
1,2,reward,12601,0.07437465531191616
1,2,reward,12801,-0.04285642945368955
1,2,reward,13001,-0.0057691107574589
1,2,reward,13201,0.02329396576758962
1,2,reward,13401,0.04309509730602073
1,2,reward,13601,0.16955013813743156
1,2,reward,13801,0.3128773190986594
1,2,reward,14001,0.2836012299379299
1,2,reward,14201,0.2231335588605438
1,2,reward,14401,0.31550515087393166
1,2,reward,14601,0.4007595577175974
1,2,reward,14801,0.290650949654399
1,2,reward,15001,0.09002103852064995
1,2,reward,15201,0.02929420678079081
1,2,reward,15401,0.02319572076921042
1,2,reward,15601,-0.05122330599744409
1,2,reward,15801,-0.10931264536151816
1,2,reward,16001,-0.2398804133476251
1,2,reward,16201,-0.2432308443642402
1,2,reward,16401,-0.06392779253083748
1,2,reward,16601,0.05328509745146213
